citation,citation_2014,email,hindex,hindex_2014,iindex,iindex_2014,maxyear,minyear,name,position,tags,totaltitle
71,70,Verified email at cs.aau.dk - ,5,5,1,1,2018,2012,Bingtian Xue,"Distributed and Embedded Systems Unit, Department of Computer Science,  Aalborg University None","Modal Logics,Formal Specification and Verification,Quantitative Systems,Concurrency Theory",20
148,119,Verified email at iitp.ru - ,6,5,4,3,2019,1994,Voloshinov VV,"Chief of lab. "" Algorithms of Grid Computing"" Institute for Information Transmission Problems (Kharkevich institute) Homepage None","optimization modelling,discrete and global optimization,distributed computing",40
156,91,Verified email at uzh.ch,7,5,4,1,2019,2002,Riccardo Murri,"Grid Computing Competence Center,  University of Zurich None","grid computing,distributed computing,parallel algorithms,mathematics,algebraic topology",35
248,221,Verified email at mutiara.upm.edu.my,5,5,3,3,2019,2001,Shamsollah Ghanbari,Iran Distributed Computing and Systems Society Distributed Computing None,"Distributed Computing,Distributed systems,High-Performance Computing,Scheduling",19
311,265,Verified email at crs4.it,4,4,3,2,2019,2008,Luca Lianas,"Researcher, CRS4 Distributed Computing None None",,14
240,163,Verified email at research.ait.ie,10,8,10,7,2019,2008,Abir Awad,"Postdoctoral researcher, Cloud Security, Irish Centre for Cloud Computing and Commerce (IC4) Cloud security None","Cloud security,Cryptography,Chaos",28
244,242,Verified email at unimelb.edu.au - ,7,7,5,5,2019,2013,Jungmin Son (Jay),"CLOUDS Lab, School of Computing and Information Systems, The  University of Melbourne None","Cloud Computing,Software Defined Networking,Data Center,Resource Provisioning",14
262,226,Verified email at intel.com,7,7,4,4,2019,2007,John Kennedy,"Cloud Services Lab,  Intel None",Cloud Computing,28
276,104,Verified email at teledrom.com - ,9,6,9,3,2014,2000,Spyridon Louvros,5G system Architect - Mobile Cloud & Network Services (MCNS) Homepage None,"5G Technologies,NB-IoT,Wireless Communication,Mobile Networks Optimization",70
288,177,Verified email at srmuniv.edu.in - ,8,7,7,5,2017,1975,Sambit Dutta,Masters in Cloud Computing Homepage None,"Cloud Computing,Wireless Sensors,MANET,Network Security,Networking",29
365,213,Verified email at ict.ac.cn,9,6,9,5,2019,2005,Guiling Wang (王桂玲 in Chinese),"Research Center for Cloud Computing, North China University of Technology SoC None","SoC,SOA,service-oriented data integration,stream data integration and analysis,big data",49
451,335,Verified email at ericsson.com - ,12,11,15,13,2019,2003,Zahra Abbasi,"Cloud computing research engineer,  Ericsson None","Machine learning,Date analytic,Big Data and Cloud Computing,Algorithms,Combinatorial Optimization",41
498,387,Verified email at sjtu.edu.cn,10,10,10,10,2019,2003,Wenjuan Li,"CLOUDS Lab, School of Computing and Information Systems, University of Melbourne, Australia cloud computing None","cloud computing,trust,task scheduling",49
534,534,Verified email at student.unimelb.edu.au - ,9,9,9,9,2020,2014,Md. Redowan Mahmud,"CLOUDS Lab, Computing and Information Systems,  University of Melbourne , Australia","Fog Computing,Internet of Things,Mobile Cloud Computing,Edge Computing",15
534,427,Verified email at aalto.fi - ,11,10,12,11,2019,1999,Timo Nyberg,", Finland and CAS Cloud Computing Center, China Aalto University None","Automation,Business Development,Intellectual Property Rights,Social Manufacturing,Cloud Business",120
335,288,Verified email at uva.nl - ,10,10,11,10,2019,2006,Marc X. Makkes,VU - High Performance Distributed Computing Homepage None,"cryptography,Blockchain,Secure Multiparty Computation",46
458,283,Verified email at epoka.edu.al - ,12,10,13,10,2019,1989,Dimitrios Karras,"Prof. Dr. Intelligent & Distributed Systems, Computer Engineering Dept,  Epoka University None","Intelligent Systems,Distributed Systems,Communication Systems,Signal & Image Processing,Pattern Recognition",57
514,363,Verified email at bsc.es,12,10,16,11,2019,2005,Jorge Ejarque Artigas,"Researcher at Workflows and Distributed Computing Group,  Barcelona Supercomputing Center None","Distributed Computing,Grid computing,Cloud Computing,Interoperability",66
937,492,Verified email at distributedcomputingsystems.co.uk - ,12,8,16,8,2019,1997,Kieran Greer,Distributed Computing Systems Homepage None,"Artificial Intelligence,Distributed Information Systems",81
1581,565,Verified email at uni-bamberg.de - ,22,14,57,23,2019,1986,Guido Wirtz,"Full Professor for Practical Computer Science, Distributed Systems Group,  Bamberg University None","Distributed Systems,Process Languages,Visual Programming",225
1817,1135,Verified email at osola.com - ,23,17,54,36,2018,2000,David Hausheer,"Professor of Networks and Distributed Systems Lab, Faculty of Computer Science, OVGU Magdeburg Homepage None","Software-defined Networking,Network Functions Virtualization,P2P and Overlay Networks,Network Economics,Network Security",215
1843,1437,Verified email at dtu.dk - ,26,18,36,29,90,2005,Nicola Dragoni,"Assoc Prof of Distributed Systems and Security,  DTU  - Prof of Computer Engineering, ORU","Security,Distributed Computing",83
2647,1168,Verified email at itec.aau.at - ,22,15,50,24,2018,1991,Laszlo Böszörmenyi,"Em. Professor of Computer Science,  Klagenfurt University , Distributed Multimedia Systems (DMS)","First interest,Second interest,...distributed multimedia systems",254
5504,1742,Verified email at sztaki.hu,38,21,133,44,2019,1981,Kacsuk Péter,"Professor of Distributed Computing, MTA SZTAKI and Univ.of Westminster Grid computing None","Grid computing,Cloud computing",533
11897,4624,Verified email at dps.uibk.ac.at - ,50,28,185,78,2019,1969,Thomas Fahringer,", Institute of Computer Science, Distributed and Parallel Systems Group University of Innsbruck None","Parallel Systems,Parallelizing Compilers,Heterogeneous energy-aware computing,Cloud and Grid Computing",478
670,670,Verified email at unimelb.edu.au,7,7,7,7,2019,2014,Maria Alejandra Rodriguez,"CLOUDS Lab, Computing and Information Systems, The  University of Melbourne , Australia","Distributed Systems,Cloud Computing,Scheduling,Resource Provisioning,Scientific Applications",18
789,123,Verified email at alumni.caltech.edu - ,7,5,7,4,2019,1985,"Vikas Agrawal, Senior Principal Data Scientist, Cognitive Computing for Advanced Analytics","Consulting Member of Technical Staff, Oracle Analytics Cloud, Oracle Inc. Homepage None","Machine Learning,Artificial Intelligence,Human Computer Interfaces,Virtual Personal Assistants,Personalized Medicine",48
1040,509,Verified email at acm.org - ,11,8,12,7,2019,1991,Pero Subasic,"Vice President, Cloud Computing and Big Data, Docomo Innovations Homepage None","Distributed Computing,Computational Linguistics,Computational Intelligence,Knowledge Engineering,Systems Engineering",45
1118,1100,Verified email at qmul.ac.uk - ,18,17,23,23,2020,2010,Sukhpal Singh Gill (Dr.),"Lecturer (Assistant Professor) of Cloud Computing,  Queen Mary University of London , UK","Cloud Computing,Energy Efficiency,Resource Management,Healthcare,Climate Change",56
2490,1468,Verified email at uniroma2.it - ,23,19,44,28,2019,1999,Andrea Detti,"Professor of Mobile Networks and Cloud Computing at  University of Rome ""Tor Vergata"" None","Wireless Network,Information Centric Networking,Software Defined Networking",120
2990,1899,Verified email at monash.edu,26,23,41,38,2019,2003,Geoffrey Cloud,"Director of Stroke Services  Alfred Health, Adjunct Professor Stroke Medicine Central Clincal School,  Monash University None","Stroke,cerebrovascular disease",121
6779,6076,Verified email at huawei.com,31,31,54,53,2018,2008,Nicholas Jing Yuan 袁晶,"Chief Scientist & GM of AI Services & Products, Huawei Cloud & AI Data Mining None","Data Mining,Natural Language Computing,Knowledge Computing,User Modeling",79
11174,4384,Verified email at google.com,50,33,97,71,2018,1978,Sandeep K. Singhal,"Director of Cloud Storage Services,  Google None",,138
90369,57506,Verified email at unimelb.edu.au - ,130,101,518,425,2020,1988,Rajkumar Buyya,"CLOUDS Lab, School of Computing and Information Systems, The  University of Melbourne , Australia","Cloud Computing,Distributed Systems,Edge Computing,Fog Computing,Internet of Things",882
5,5,Verified email at tum.de,1,1,0,0,2019,2015,Alejandro Martin-Gomez,"Chair for Computer Aided Medical Procedures & Augmented Reality,  Technical University of Munich None","Augmented Reality,Virtual Reality,Human Computer Interaction,Medical Augmented Reality",3
38,36,Verified email at ccg.pt,3,3,1,1,2015,2011,Gustavo Maçães,"Augmented Reality R&D, CCG Computer Graphics None",Computer Graphics,9
49,49,Verified email at kaist.ac.kr - ,3,3,2,2,2019,2013,Muhammad Ayaz Shirazi,"Postdoctoral Researcher, Augmented Reality Research Center,  KAIST None","Computer Vision,Artificial Intelligence,Deep Learning,Structured Light Imaging,Digital Image Processing",11
69,51,Verified email at kabk.nl,3,3,3,3,2017,2009,Yolande Kolstee,"Head Augmented Reality Lab (AR Lab), The Hague, The Netherlands visualisation techniques None","visualisation techniques,AR,Art,Religion,Culture",8
71,63,Verified email at kaist.ac.kr,4,4,2,2,2017,2012,Hochul Cho,"Researcher, KAIST Augmented Reality Research Center Computer Vision None","Computer Vision,Deep Learning,Virtual Reality,Augmented Reality,Game AI",8
19225,11687,Verified email at futureinstitutions.org - ,59,45,395,270,2019,1959,Virender Kumar,Professor of Cloud computing Homepage None,"cloud computing,network security",3086
73,73,Verified email at kaist.ac.kr - ,5,5,3,3,2019,2016,Juyoung Lee,KAIST Augmented Reality Research Center Homepage None,"Wearable Computing,Augmented Reality,Human Computer Interaction",11
89,89,Verified email at tum.de,6,6,4,4,2019,2015,Felix Bork,"Chair for Computer Aided Medical Procedures & Augmented Reality,  Technical University of Munich None","Medical Visualization,Virtual & Augmented Reality,Human Computer Interaction,3D User Interfaces,Computer Graphics",12
117,76,Verified email at wj-ar.com,6,5,5,3,2019,2008,Sayantan Ghosh,We Jump Augmented Reality Deep learning None,"Deep learning,computer vision,human activity recognition",18
333,202,Verified email at fh-hagenberg.at,10,6,10,4,2017,2003,Christoph Anthes,"Professor of Augmented and Virtual Reality,  University of Applied Sciences Upper Austria None","Virtual Reality,Augmented Reality,Mixed Reality,Digital Games",48
531,472,Verified email at salle.url.edu,11,9,14,9,2020,1993,Isidro Navarro,"Professor of Architecture and Augmented Reality, La Salle University Architecture None","Architecture,Augmented Reality,Sustainability,Energy Efficiency",102
596,541,Verified email at google.com - ,13,13,14,13,2019,2007,Juan David Hincapié-Ramos,Augmented Reality @  Google None,"Human-Computer Interaction,Augmented Reality,Ubiquitous Computing",37
630,389,Verified email at fit.fraunhofer.de - ,13,11,19,13,2019,2003,Leif Oppermann,"Mixed and Augmented Reality Solutions,  Fraunhofer FIT None","Mobile,Mixed Reality,Augmented Reality,HCI,Computer Science",70
922,830,Verified email at snapchat.com - ,15,14,20,18,2019,2008,Guohui Wang (王国晖),Augmented Reality Research at Snapchat Homepage None,"mobile computing,computer vision,augmented reality,machine learning",36
2,2,Verified email at uni-weimar.de,1,1,0,0,2018,2018,Joshua Reibert,"Virtual Reality and Visualization Research,  Bauhaus-Universität Weimar None",Information Visualization,1
58150,24094,Verified email at ieee.org,49,43,106,95,2020,1991,Yuhui Shi,"Chair Professor, Computer Science and Engineering, Southern University of Science and Technology Evolutionary Computation None","Evolutionary Computation,Swarm Intelligence,Particle Swarm Optimization Algorithm,Brain Storm Optimization",211
44820,28626,Verified email at umd.edu - ,54,48,87,81,2019,1996,Mihai Pop,"Professor of Computer Science,  University of Maryland, College Park None",Bioinformatics,165
38677,14063,Verified email at scs.carleton.ca - ,75,52,149,117,2019,1986,Paul C. van Oorschot,"Professor of Computer Science,  Carleton University , Canada","authentication,computer and network security,applied cryptography,computer security,information security",216
33613,12800,Verified email at buffalo.edu - ,91,51,365,212,2019,1975,Barry Smith,"Professor of  Philosophy, Biomedical Informatics, and Computer Science,  University at Buffalo None","applied ontology,biomedical informatics,metaphysics,ontology,philosophy",682
26943,23351,Verified email at princeton.edu - ,49,43,93,83,2019,2003,Ben Raphael,"Professor of Computer Science,  Princeton University None","Computational Biology,Genomics,Bioinformatics,Cancer",180
25268,15348,Verified email at jhu.edu - ,50,42,88,78,2019,1998,Rachel Karchin,"Professor of Biomedical Engineering, Oncology and Computer Science,  Johns Hopkins University None","bioinformatics,computational biology,computational genomics,computational medicine,genetics",153
23249,7242,Verified email at cs.cmu.edu - ,68,40,141,90,2019,1966,Garth Alan Gibson,"Professor of Computer Science,  Carnegie Mellon University ; President & CEO, Vector Institute (2 Jan",Systems and Machine Learning,366
18420,4599,Verified email at cs.cornell.edu - ,53,27,128,61,2019,1971,Dexter Kozen,"Professor of Computer Science,  Cornell University None","program logic and semantics,algorithm design and analysis,complexity theory,automata theory",521
21155,11323,Verified email at cs.wisc.edu - ,52,43,141,97,2019,1959,Xiaojin Zhu,Professor in Computer Science at  University of Wisconsin-Madison None,Machine Learning,1674
18446,5258,Verified email at rgrossman.com - ,53,32,145,77,2019,1980,Robert L Grossman,"Frederick H. Rawson Professor of Medicine and Computer Science, University of Chicago Homepage None","data science,data intensive computing,bioinformatics,cloud computing",396
18535,7800,Verified email at anu.edu.au - ,47,30,108,61,2019,1985,Robert C. Williamson,"Professor of Computer Science,  Australian National University ; Distinguished Researcher, DATA61","machine learning,learning theory,signal processing,statistics",244
18579,5445,Verified email at ucsc.edu - ,64,35,142,90,2019,1980,Manfred K. Warmuth,"Professor of Computer Science,  University of California at Santa Cruz None","Machine learning,Statistics,Game Theory,Optimization",297
18602,16654,Verified email at ipatimup.pt - ,23,21,30,27,2018,2004,Pedro G. Ferreira,"Department of Computer Science, Faculty of Sciences  University of Porto None","Computational biology,bioinformatics,Data Mining,Machine Learning",45
18626,5956,Verified email at cs.ust.hk - ,69,39,153,91,2019,1991,Dimitris Papadias,"Professor of Computer Science,  HKUST None",Databases,228
18564,10830,Verified email at cs.uchicago.edu - ,59,47,332,243,2020,1980,Haitao Zheng,"Neubauer Professor of Computer Science,  University of Chicago None","Mobile Computing,Wireless networks,Dynamic Spectrum Networks,online social networks",1501
18629,5928,Verified email at illinois.edu - ,59,33,190,93,2019,1977,Gul Agha,"Professor of Computer Science,  University of Illinois at Urbana-Champaign None","Programming Languages,Concurrency Theory,Formal Methods,Software Engineering,Sensor Networks",445
18640,3899,Verified email at weizmann.ac.il - ,52,28,119,54,2019,1975,Ehud Shapiro,"Professor, Department of Computer Science and Applied Math,  Weizmann Institute of Science None","Computer Science,Biology",252
18652,3926,Verified email at Vanderbilt.edu - ,63,27,280,88,2019,1954,Charlotte F. Fischer,"Professor Emerita of Computer Science,  Vanderbilt University None","Computational Atomic physics,Numerical analysis",590
18668,6619,Verified email at ens.fr - ,61,40,145,103,2019,1966,David Pointcheval,"Senior CNRS Researcher in Computer Science,  Ecole Normale Superieure, Paris None",Cryptography,264
18683,11212,Verified email at uchicago.edu - ,66,54,179,146,2019,1999,Nick Feamster,"Neubauer Professor of Computer Science,  University of Chicago None","Security,Networking,Computer Networks,Data Science,Tech Policy",375
18631,12567,Verified email at hit.edu.cn,38,37,639,413,2019,1973,Shaohui Liu,"Associate Professor of School of Computer Science and Technology,  Harbin Institute of Technology None","Multimedia Security,Video Surveillance and Tracking,Video Compression,Image Restoration",3131
18766,6127,Verified email at wfu.edu - ,51,25,140,55,2019,1960,Robert Plemmons,"Reynolds Professor of Computer Science and Mathematics, Emeritus  Wake Forest University None","Numerical linear algebra,inverse problems,optimization,optics",338
18776,9115,Verified email at cs.rwth-aachen.de - ,64,41,176,111,2019,1989,Joost-Pieter Katoen,"Distinguished Professor of Computer Science,  RWTH Aachen University  and University of Twente","model checking,concurrency theory,probabilistic computation,probabilistic programming,program verification",349
18782,4296,Verified email at northwestern.edu,58,29,183,89,2019,1966,Kenneth D. Forbus,"Professor of Computer Science,  Northwestern University None",Artificial Intelligence,486
18799,9096,Verified email at inf.ethz.ch - ,64,53,135,116,2020,1989,Srdjan Capkun (Srđan Čapkun),"Professor of Computer Science,  ETH Zurich None","Security,Computer Security,Wireless Security,Privacy,Networking",283
18834,10611,Verified email at indiana.edu - ,64,53,123,114,2019,2002,Matthew W. Hahn,"Professor of Biology and Computer Science,  Indiana University None","Evolution,Population genetics,Molecular evolution,Genomics,Bioinformatics",153
18850,5065,Verified email at inf.ethz.ch - ,49,24,118,42,2019,1975,Gaston H. Gonnet,Professor Emeritus of Computer Science at the  ETH Zurich None,"Bioinformatics,scientific computation,computer algebra,modelling,machine learning",306
18883,7601,Verified email at soton.ac.uk - ,69,44,239,135,2019,1983,Mark Nixon,"Professor of Electronics and Computer Science,  University of Southampton None","Computer Vision,Biometrics,Gait,Ear,Soft",555
18908,15734,Verified email at cs.auckland.ac.nz - ,10,8,10,8,2019,2004,Dong (Walter) Xie,"Department of Computer Science,  University of Auckland None","Phylogenetics,Computational Biology,Bioinformatics,Artificial Intelligence,Machine Learning",21
18804,15800,Verified email at aiub.edu - ,54,49,523,457,2020,1975,MD. AL IMRAN,"Lecturer of Computer Science,  American International University-Bangladesh None","Information and Database Managemeny,Internet Technologies,Data Warehousing and Data Mining",3177
18913,5504,Verified email at cc.gatech.edu - ,62,36,280,127,2019,1977,Calton Pu,"Professor and J.P. Imlay, Jr. Chair in Software, School of Computer Science,  Georgia Tech None","Service Computing,Cloud Computing,Big Data,Data Management,Information Security",700
18920,9764,Verified email at cs.ucsb.edu - ,57,46,140,126,2019,1982,Xifeng Yan,"Professor, Computer Science,  Univ. of California at Santa Barbara None","Data Mining,Data Management,Machine Learning,Bioinformatics",329
18939,6204,Verified email at cs.ucsb.edu,71,38,241,105,2019,1984,Amr El Abbadi,"Professor of Computer Science,  UC Santa Barbara None","Databases,Distributed systems,social NW,cloud computing",538
18987,7035,Verified email at cs.stanford.edu,44,35,79,62,2019,1971,Mehran Sahami,"Professor of Computer Science,  Stanford University None","Computer Science Education,Machine Learning,Information Retrieval",165
18987,9512,Verified email at cse.ohio-state.edu - ,72,53,218,158,2019,1983,DeLiang Wang,"Professor of Computer Science and Engineering,  Ohio State University None",Perception and neurodynamics,465
19021,11380,Verified email at mit.edu - ,53,42,132,100,2019,1954,Pablo A. Parrilo,"Professor of Electrical Engineering and Computer Science,  Massachusetts Institute of Technology None","Convex Optimization,Semidefinite Programming,Systems and Control,Applied Mathematics",295
18988,7879,Verified email at utdallas.edu,60,40,334,211,2019,1967,John Hansen,"Associate Dean for Research; Erik Jonsson School of Engineering & Computer Science, The University Speech Processing None","Speech Processing,Speech Recognition,Speaker ID,Speech Under Stress,Lombard Effect",852
19035,6993,Verified email at debevec.org - ,49,37,117,86,2019,1996,Paul Debevec,"Professor of Computer Science, University of Southern California Homepage None","computer graphics,computer vision,cultural heritage,visual effects,virtual reality",257
19044,6407,Verified email at cs.nyu.edu,57,40,105,77,2019,1961,Victor Shoup,"Professor of Computer Science,  New York University None","Cryptography,Algorithms",162
19028,13422,Verified email at ecu.edu.au,56,48,393,296,2020,1963,Chang Su Lee,"School of Computer and Security Science,  Edith Cowan University None","Artificial Intelligence,Machine Learning,Mobile Robotics,Bio-Informatics",1260
19049,6544,Verified email at univie.ac.at - ,64,43,148,121,2020,1986,Monika Henzinger,"Professor of Computer Science,  University of Vienna None","Combinatorial algorithms and data structures,web information retrieval,algorithmic game theory",328
